address,name,description
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,BAMM,LUSD
0x54bc9113f1f55cdbdf221daf798dc73614f6d972,PBAMM,LUSD
0x7776a65d70465bd598ca7e177d7cb62025e5c448,bBAT,BAT
0x930f1d6616de5e5765919863d59354bb3332fb04,bComp,COMP
0x0b1b0aa805e48af767a6ec033984f9d7bffb56dd,bDAI,DAI
0x9edf78ba1d0d6b30daeb0244bd59e287a631cea8,bLINK,LINK
0x1caae5929c2d33a6e2ba23d85fe3031954dbda70,bTUSD,TUSD
0x1e7c30d49de4df2ac86406783ed75b210a277aa9,bUNI,UNI
0xc33e1541dc8c9f4becb4517eb1acc5f8c67e766b,bUSDC,USDC
0x4b17d8cab1090a90c5e46045e6facdb81ca9bd65,bUSDT,USDT
0xb6473c402116422f62ff0ecc4b7e2b71911441ae,bWBTC,WBTC
0x8c4f8f1d867f77251c1a1d470930d5f8e310e8f1,bZRX,ZRX
